Name,BlockType,Parent,Parameter,Sources,Destinations,Path
MO_AOActivityMovment,Sum,TestStructure/InterForceControlTask/AO/Select,,TestStructure/InterForceControlTask/AO/Select/Gain3; TestStructure/InterForceControlTask/AO/Select/Moving Average1,TestStructure/InterForceControlTask/AO/Select/If1,TestStructure/InterForceControlTask/AO/Select/MO_AOActivityMovment
MO_AOActivityThreadhold,Constant,TestStructure/InterForceControlTask/AO/Select,Value=0.8,,TestStructure/InterForceControlTask/AO/Select/If1,TestStructure/InterForceControlTask/AO/Select/MO_AOActivityThreadhold
MO_<WhichFoot>,Constant,TestStructure/InterForceControlTask,Value=1,,TestStructure/InterForceControlTask/AO; TestStructure/InterForceControlTask/FootSwitch; TestStructure/InterForceControlTask/Torque_Guard,TestStructure/InterForceControlTask/MO_<WhichFoot>
MO_GiveTorque?,ManualSwitch,TestStructure/InterForceControlTask,sw=0,TestStructure/InterForceControlTask/MO_OverwriteKpGain; TestStructure/InterForceControlTask/MO_Zero,TestStructure/InterForceControlTask/Torque_Guard,TestStructure/InterForceControlTask/MO_GiveTorque?
MO_OverwriteKpGain,Gain,TestStructure/InterForceControlTask,Gain=1.5,TestStructure/InterForceControlTask/TorqueController,TestStructure/InterForceControlTask/MO_GiveTorque?,TestStructure/InterForceControlTask/MO_OverwriteKpGain
MO_PhaseBias,Constant,TestStructure/InterForceControlTask,Value=0,,TestStructure/InterForceControlTask/AO,TestStructure/InterForceControlTask/MO_PhaseBias
MO_RightCurrentAmplifyGain,Gain,TestStructure/InterForceControlTask,Gain=0.8/0.7,TestStructure/InterForceControlTask/Torque_Guard,TestStructure/InterForceControlTask/Sum1,TestStructure/InterForceControlTask/MO_RightCurrentAmplifyGain
MO_Zero,Constant,TestStructure/InterForceControlTask,Value=0,,TestStructure/InterForceControlTask/MO_GiveTorque?,TestStructure/InterForceControlTask/MO_Zero
MO_ActivityMovent,Sum,TestStructure/InterForceControlTask/TorqueController,,TestStructure/InterForceControlTask/TorqueController/Gain3; TestStructure/InterForceControlTask/TorqueController/Moving Average1,TestStructure/InterForceControlTask/TorqueController/If,TestStructure/InterForceControlTask/TorqueController/MO_ActivityMovent
MO_ActivtyThreadhold,Constant,TestStructure/InterForceControlTask/TorqueController,Value=0.1,,TestStructure/InterForceControlTask/TorqueController/If,TestStructure/InterForceControlTask/TorqueController/MO_ActivtyThreadhold
MO_AutoDisable?,ManualSwitch,TestStructure/InterForceControlTask/TorqueController,sw=0,TestStructure/InterForceControlTask/TorqueController/Activity gate; TestStructure/InterForceControlTask/TorqueController/Activity_Enable,TestStructure/InterForceControlTask/TorqueController/TorqueManager,TestStructure/InterForceControlTask/TorqueController/MO_AutoDisable?
MO_Kd,Gain,TestStructure/InterForceControlTask/TorqueController,Gain=0.005,TestStructure/InterForceControlTask/TorqueController/Sum_e_dq,TestStructure/InterForceControlTask/TorqueController/Sum_e,TestStructure/InterForceControlTask/TorqueController/MO_Kd
MO_Kp,Gain,TestStructure/InterForceControlTask/TorqueController,Gain=0.3,TestStructure/InterForceControlTask/TorqueController/Sum_e_q,TestStructure/InterForceControlTask/TorqueController/Sum_e,TestStructure/InterForceControlTask/TorqueController/MO_Kp
MO_drop ? steps,Gain,TestStructure/InterForceControlTask/TorqueController/TorqueManager,Gain=0,TestStructure/InterForceControlTask/TorqueController/TorqueManager/activity falling edge,TestStructure/InterForceControlTask/TorqueController/TorqueManager/count + step,TestStructure/InterForceControlTask/TorqueController/TorqueManager/MO_drop ? steps
MO_step ramp ? per 5,Gain,TestStructure/InterForceControlTask/TorqueController/TorqueManager,Gain=1,TestStructure/InterForceControlTask/TorqueController/TorqueManager/step_count 0..5,TestStructure/InterForceControlTask/TorqueController/TorqueManager/base_gain 0..1,TestStructure/InterForceControlTask/TorqueController/TorqueManager/MO_step ramp ? per 5
MO_HealthLegdefault,Constant,TestStructure/InterForceControlTask/Torque_Guard,Value=4.5,,TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate; TestStructure/InterForceControlTask/Torque_Guard/Switch; TestStructure/InterForceControlTask/Torque_Guard/Switch1,TestStructure/InterForceControlTask/Torque_Guard/MO_HealthLegdefault
