Name,BlockType,Parent,Parameter,Sources,Destinations,Path
Constant,Constant,TestStructure/InterForceControlTask/AO,"Value=1",,,TestStructure/InterForceControlTask/AO/Constant
Constant1,Constant,TestStructure/InterForceControlTask/AO,"Value=1",,TestStructure/InterForceControlTask/AO/Select,TestStructure/InterForceControlTask/AO/Constant1
Gain,Gain,TestStructure/InterForceControlTask/AO,"Gain=0.01",TestStructure/InterForceControlTask/AO/Filter,TestStructure/InterForceControlTask/AO/Select; TestStructure/InterForceControlTask/AO/Subsystem1,TestStructure/InterForceControlTask/AO/Gain
Memory,Memory,TestStructure/InterForceControlTask/AO,"InitialCondition=0",TestStructure/InterForceControlTask/AO/PhaseCorrection,TestStructure/InterForceControlTask/AO/MATLAB Function,TestStructure/InterForceControlTask/AO/Memory
Constant3,Constant,TestStructure/InterForceControlTask/AO/PhaseCorrection,"Value=1",,TestStructure/InterForceControlTask/AO/PhaseCorrection/Discrete-Time Integrator,TestStructure/InterForceControlTask/AO/PhaseCorrection/Constant3
Discrete-Time Integrator,DiscreteIntegrator,TestStructure/InterForceControlTask/AO/PhaseCorrection,"",TestStructure/InterForceControlTask/AO/PhaseCorrection/Constant3; TestStructure/InterForceControlTask/AO/PhaseCorrection/Merge,TestStructure/InterForceControlTask/AO/PhaseCorrection/MATLAB Function,TestStructure/InterForceControlTask/AO/PhaseCorrection/Discrete-Time
Integrator
Constant,Constant,TestStructure/InterForceControlTask/AO/PhaseCorrection/If Action Subsystem,"Value=1",,TestStructure/InterForceControlTask/AO/PhaseCorrection/If Action Subsystem/Out1,TestStructure/InterForceControlTask/AO/PhaseCorrection/If Action
Subsystem/Constant
Constant,Constant,TestStructure/InterForceControlTask/AO/PhaseCorrection/If Action Subsystem1,"Value=0",,TestStructure/InterForceControlTask/AO/PhaseCorrection/If Action Subsystem1/Out1,TestStructure/InterForceControlTask/AO/PhaseCorrection/If Action
Subsystem1/Constant
Constant1,Constant,TestStructure/InterForceControlTask/AO/Select,"Value=1",,TestStructure/InterForceControlTask/AO/Select/If1,TestStructure/InterForceControlTask/AO/Select/Constant1
Gain1,Gain,TestStructure/InterForceControlTask/AO/Select,"Gain=0.6",TestStructure/InterForceControlTask/AO/Select/P,TestStructure/InterForceControlTask/AO/Select/Add,TestStructure/InterForceControlTask/AO/Select/Gain1
Gain2,Gain,TestStructure/InterForceControlTask/AO/Select,"Gain=1",TestStructure/InterForceControlTask/AO/Select/Data Type Conversion,TestStructure/InterForceControlTask/AO/Select/Bias1,TestStructure/InterForceControlTask/AO/Select/Gain2
Gain3,Gain,TestStructure/InterForceControlTask/AO/Select,"Gain=0.4",TestStructure/InterForceControlTask/AO/Select/Abs,TestStructure/InterForceControlTask/AO/Select/MO_AOActivityMovment,TestStructure/InterForceControlTask/AO/Select/Gain3
Constant1,Constant,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem,"Value=1",,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem/En,TestStructure/InterForceControlTask/AO/Select/If Action
Subsystem/Constant1
Constant,Constant,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem/If Action Subsystem1,"Value=0",,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem/If Action Subsystem1/Out1,TestStructure/InterForceControlTask/AO/Select/If Action
Subsystem/If Action
Subsystem1/Constant
Constant1,Constant,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem/If Action Subsystem1,"Value=0",,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem/If Action Subsystem1/Out2,TestStructure/InterForceControlTask/AO/Select/If Action
Subsystem/If Action
Subsystem1/Constant1
Constant,Constant,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem1,"Value=0",,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem1/Out1,TestStructure/InterForceControlTask/AO/Select/If Action
Subsystem1/Constant
Constant1,Constant,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem1,"Value=0",,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem1/Out2,TestStructure/InterForceControlTask/AO/Select/If Action
Subsystem1/Constant1
Constant2,Constant,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem1,"Value=0",,TestStructure/InterForceControlTask/AO/Select/If Action Subsystem1/Out3,TestStructure/InterForceControlTask/AO/Select/If Action
Subsystem1/Constant2
Saturation,Saturate,TestStructure/InterForceControlTask/AO/Select,"Upper=inf, Lower=0",TestStructure/InterForceControlTask/AO/Select/Bias2,TestStructure/InterForceControlTask/AO/Select/Edge Detector,TestStructure/InterForceControlTask/AO/Select/Saturation
Constant,Constant,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1,"Value=true",,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/EventAndStartupGate,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/Constant
ContactRelay,Relay,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1,"",TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/LeftLowPass,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/PrevContact; TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/RisingEdge,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/ContactRelay
LeftLowPass,DiscreteTransferFcn,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1,"Numerator=0.05, Denominator=[1 -0.95]",TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/Switch,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/ContactRelay,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/LeftLowPass
PrevContact,UnitDelay,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1,"InitialCondition=0",TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/ContactRelay,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/RisingEdge,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/PrevContact
Switch,Switch,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/VoltageToFootLoad; TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/Whichfoot,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/LeftLowPass,TestStructure/InterForceControlTask/AO/Subsystem1/Detector1/Switch
Switch,Switch,TestStructure/InterForceControlTask/AO,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/AO/Demux,TestStructure/InterForceControlTask/AO/Filter,TestStructure/InterForceControlTask/AO/Switch
TBaseDefault,Constant,TestStructure/InterForceControlTask/AO,"Value=2.2",,TestStructure/InterForceControlTask/AO/ColdStartEventGate; TestStructure/InterForceControlTask/AO/PhaseCorrection,TestStructure/InterForceControlTask/AO/TBaseDefault
Constant1,Constant,TestStructure/InterForceControlTask,"Value=0",,,TestStructure/InterForceControlTask/Constant1
Constant2,Constant,TestStructure/InterForceControlTask,"Value=0",,,TestStructure/InterForceControlTask/Constant2
Constant3,Constant,TestStructure/InterForceControlTask,"Value=0",,TestStructure/InterForceControlTask/Bus Creator,TestStructure/InterForceControlTask/Constant3
Constant4,Constant,TestStructure/InterForceControlTask,"Value=0",,TestStructure/InterForceControlTask/Bus Creator,TestStructure/InterForceControlTask/Constant4
