time,q_meas,dq_meas,q_ref,dq_ref,feet_load,phi,phase0_event,tau_e,safe_torque,assist_enabled
0.00,0.000,1.571,0.050,1.563,1.0,0.00,1,0.00,8.0,1
0.10,0.156,1.494,0.205,1.475,1.0,0.10,0,0.45,8.0,1
0.20,0.294,1.271,0.340,1.241,1.0,0.20,0,0.86,8.0,1
0.30,0.405,0.923,0.445,0.882,0.8,0.30,0,1.18,8.0,1
0.40,0.476,0.485,0.507,0.435,0.4,0.40,0,1.38,8.0,1
0.50,0.500,0.000,0.520,-0.052,0.0,0.50,0,1.45,8.0,1
0.60,0.476,-0.485,0.486,-0.535,0.0,0.60,0,1.38,8.0,1
0.70,0.405,-0.923,0.405,-0.964,0.2,0.70,0,1.18,8.0,1
0.80,0.294,-1.271,0.286,-1.301,0.8,0.80,0,0.86,8.0,1
0.90,0.156,-1.494,0.141,-1.512,1.0,0.90,0,0.45,8.0,1
1.00,0.000,-1.571,-0.020,-1.571,1.0,0.00,1,0.00,8.0,1
