time,BusIn_1_LeftShoulderMotorActuralPosition,BusIn_1_LeftShoulderMotorActuralVelocity,BusIn_1_LeftShoulderMotorActuralTorque,BusIn_1_LeftShoulderMotorDCLinkCircuitVoltage,BusIn_1_RightShoulderMotorActuralPosition,BusIn_1_RightShoulderMotorActuralVelocity,BusIn_1_RightShoulderMotorActuralTorque,BusIn_1_RightShoulderMotorDCLinkCircuitVoltage,BusIn_1_LeftHipMotorActuralPosition,BusIn_1_LeftHipMotorActuralVelocity,BusIn_1_LeftHipMotorActuralTorque,BusIn_1_LeftHipMotorDCLinkCircuitVoltage,BusIn_1_RightHipMotorActuralPosition,BusIn_1_RightHipMotorActuralVelocity,BusIn_1_RightHipMotorActuralTorque,BusIn_1_RightHipMotorDCLinkCircuitVoltage,BusIn_1_LeftShoulderMotorSensorADCh1,BusIn_1_LeftShoulderMotorSensorADCh2,BusIn_1_LeftShoulderMotorSensorIMUq0,BusIn_1_LeftShoulderMotorSensorIMUq1,BusIn_1_LeftShoulderMotorSensorIMUq2,BusIn_1_LeftShoulderMotorSensorIMUq3,BusIn_1_RightShoulderMotorSensorADCh1,BusIn_1_RightShoulderMotorSensorADCh2,BusIn_1_RightShoulderMotorSensorIMUq0,BusIn_1_RightShoulderMotorSensorIMUq1,BusIn_1_RightShoulderMotorSensorIMUq2,BusIn_1_RightShoulderMotorSensorIMUq3,BusIn_1_LeftHipMotorSensorADCh1,BusIn_1_LeftHipMotorSensorADCh2,BusIn_1_LeftHipMotorSensorIMUq0,BusIn_1_LeftHipMotorSensorIMUq1,BusIn_1_LeftHipMotorSensorIMUq2,BusIn_1_LeftHipMotorSensorIMUq3,BusIn_1_RightHipMotorSensorADCh1,BusIn_1_RightHipMotorSensorADCh2,BusIn_1_RightHipMotorSensorIMUq0,BusIn_1_RightHipMotorSensorIMUq1,BusIn_1_RightHipMotorSensorIMUq2,BusIn_1_RightHipMotorSensorIMUq3,BusIn_1_WaistSensorADCh1,BusIn_1_WaistSensorADCh2,BusIn_1_WaistSensorIMUq0,BusIn_1_WaistSensorIMUq1,BusIn_1_WaistSensorIMUq2,BusIn_1_WaistSensorIMUq3,BusIn_1_LeftHipSensorADCh1,BusIn_1_LeftHipSensorADCh2,BusIn_1_LeftHipSensorIMUq0,BusIn_1_LeftHipSensorIMUq1,BusIn_1_LeftHipSensorIMUq2,BusIn_1_LeftHipSensorIMUq3,BusIn_1_RightHipSensorADCh1,BusIn_1_RightHipSensorADCh2,BusIn_1_RightHipSensorIMUq0,BusIn_1_RightHipSensorIMUq1,BusIn_1_RightHipSensorIMUq2,BusIn_1_RightHipSensorIMUq3
17.464,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24699,-2.0244140625,0,0.0141400000019765,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.205132298531324,NaN,0,0,0,0,0.696771691705573,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.465,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24699,-2.0244140625,0,0.0141400000019765,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.234151986850535,NaN,0,0,0,0,0.591064235972368,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.466,0,0,0,0,0,0,0,0,-0.291748046875,0,0.0141400000019765,24699,-2.0244140625,0,0.0141400000019765,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.234151986850535,NaN,0,0,0,0,0.744439770800358,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.467,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24699,-2.0244140625,0,0,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.197952169462654,NaN,0,0,0,0,0.744439770800358,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.468,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24699,-2.0244140625,0,0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0522553837775469,NaN,0,0,0,0,0.5960504367145,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.469,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0141400000019765,24699,-2.0244140625,0,0,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.217198904327285,NaN,0,0,0,0,0.704350716833614,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.47,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24725,-2.0244140625,0,0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.216600560238229,NaN,0,0,0,0,0.704350716833614,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.471,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.239038463577824,NaN,0,0,0,0,0.547684289515816,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.472,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24673,-2.0244140625,0,-0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.239038463577824,NaN,0,0,0,0,0.539207748254191,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.473,0,0,0,0,0,0,0,0,-0.291748046875,0,0.0141400000019765,24725,-2.0244140625,0,0,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.20004637377435,NaN,0,0,0,0,0.539207748254191,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.474,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0141400000019765,24673,-2.0244140625,0,0,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0737957709835586,NaN,0,0,0,0,0.559451723267249,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.475,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.233952538820849,NaN,0,0,0,0,0.657779601902098,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
