time,minimal_clock,minimal_sine
0,0,0
0.001,0.001,0.00628314396555895
0.002,0.002,0.0125660398833526
0.003,0.003,0.0188484397154082
0.004,0.004,0.0251300954433375
0.005,0.005,0.0314107590781283
0.006,0.006,0.0376901826699345
0.007,0.007,0.0439681183178649
0.008,0.008,0.0502443181797695
0.009,0.009,0.0565185344820245
0.01,0.01,0.0627905195293134
0.011,0.011,0.0690600257144058
0.012,0.012,0.0753268055279327
0.013,0.013,0.0815906115681575
0.014,0.014,0.0878511965507432
0.015,0.015,0.0941083133185143
0.016,0.016,0.100361714851215
0.017,0.017,0.10661115427526
0.018,0.018,0.112856384873482
0.019,0.019,0.11909716009487
0.02,0.02,0.125333233564304
0.021,0.021,0.131564359092282
0.022,0.022,0.137790290684638
0.023,0.023,0.144010782552252
0.024,0.024,0.150225589120757
0.025,0.025,0.156434465040231
0.026,0.026,0.162637165194884
0.027,0.027,0.168833444712734
0.028,0.028,0.175023058975276
0.029,0.029,0.181205763627137
0.03,0.03,0.187381314585725
0.031,0.031,0.19354946805086
0.032,0.032,0.199709980514407
0.033,0.033,0.205862608769881
0.034,0.034,0.212007109922054
0.035,0.035,0.218143241396542
0.036,0.036,0.224270760949381
0.037,0.037,0.23038942667659
0.038,0.038,0.236498997023724
0.039,0.039,0.242599230795407
0.04,0.04,0.248689887164855
0.041,0.041,0.254770725683382
0.042,0.042,0.260841506289897
0.043,0.043,0.266901989320375
0.044,0.044,0.272951935517325
0.045,0.045,0.278991106039229
0.046,0.046,0.285019262469976
0.047,0.047,0.291036166828272
0.048,0.048,0.297041581577035
0.049,0.049,0.303035269632774
0.05,0.05,0.309016994374947
0.051,0.051,0.314986519655305
0.052,0.052,0.320943609807209
0.053,0.053,0.326888029654942
0.054,0.054,0.332819544522986
0.055,0.055,0.338737920245291
0.056,0.056,0.344642923174517
0.057,0.057,0.350534320191259
0.058,0.058,0.35641187871325
0.059,0.059,0.362275366704545
0.06,0.06,0.368124552684678
0.061,0.061,0.3739592057378
0.062,0.062,0.379779095521801
0.063,0.063,0.385583992277396
0.064,0.064,0.391373666837202
0.065,0.065,0.39714789063478
0.066,0.066,0.402906435713662
0.067,0.067,0.408649074736349
0.068,0.068,0.414375580993284
0.069,0.069,0.420085728411806
0.07,0.07,0.425779291565072
0.071,0.071,0.431456045680959
0.072,0.072,0.437115766650932
0.073,0.073,0.442758231038901
0.074,0.074,0.448383216090032
0.075,0.075,0.453990499739546
0.076,0.076,0.459579860621487
0.077,0.077,0.465151078077458
0.078,0.078,0.470703932165332
0.079,0.079,0.476238203667939
0.08,0.08,0.481753674101715
0.081,0.081,0.487250125725332
0.082,0.082,0.492727341548291
0.083,0.083,0.49818510533949
0.084,0.084,0.50362320163576
0.085,0.085,0.509041415750371
0.086,0.086,0.514439533781506
0.087,0.087,0.519817342620709
0.088,0.088,0.525174629961295
0.089,0.089,0.530511184306733
0.09,0.09,0.535826794978996
0.091,0.091,0.541121252126875
0.092,0.092,0.546394346734269
0.093,0.093,0.55164587062843
0.094,0.094,0.556875616488188
0.095,0.095,0.56208337785213
0.096,0.096,0.567268949126756
0.097,0.097,0.57243212559459
0.098,0.098,0.577572703422267
0.099,0.099,0.582690479668575
0.1,0.1,0.587785252292473
0.101,0.101,0.592856820161059
0.102,0.102,0.597904983057518
0.103,0.103,0.602929541689024
0.104,0.104,0.607930297694605
0.105,0.105,0.612907053652976
0.106,0.106,0.617859613090334
0.107,0.107,0.622787780488112
0.108,0.108,0.6276913612907
0.109,0.109,0.632570161913124
0.11,0.11,0.637423989748689
0.111,0.111,0.642252653176584
0.112,0.112,0.647055961569444
0.113,0.113,0.651833725300878
0.114,0.114,0.656585755752956
0.115,0.115,0.661311865323651
0.116,0.116,0.666011867434251
0.117,0.117,0.67068557653672
0.118,0.118,0.675332808121024
0.119,0.119,0.679953378722419
0.12,0.12,0.684547105928688
0.121,0.121,0.689113808387348
0.122,0.122,0.693653305812804
0.123,0.123,0.698165418993472
0.124,0.124,0.702649969798848
0.125,0.125,0.707106781186547
0.126,0.126,0.711535677209284
0.127,0.127,0.71593648302183
0.128,0.128,0.720309024887906
0.129,0.129,0.724653130187045
0.13,0.13,0.72896862742141
0.131,0.131,0.733255346222559
0.132,0.132,0.737513117358173
0.133,0.133,0.741741772738738
0.134,0.134,0.745941145424181
0.135,0.135,0.750111069630458
0.136,0.136,0.754251380736103
0.137,0.137,0.758361915288721
0.138,0.138,0.762442511011447
0.139,0.139,0.766493006809349
0.14,0.14,0.770513242775788
0.141,0.141,0.774503060198733
0.142,0.142,0.778462301567022
0.143,0.143,0.782390810576587
0.144,0.144,0.786288432136618
0.145,0.145,0.790155012375689
0.146,0.146,0.793990398647834
0.147,0.147,0.797794439538569
0.148,0.148,0.801566984870875
0.149,0.149,0.80530788571112
0.15,0.15,0.809016994374946
0.151,0.151,0.812694164433092
0.152,0.152,0.816339250717182
0.153,0.153,0.819952109325451
0.154,0.154,0.823532597628426
0.155,0.155,0.82708057427456
0.156,0.156,0.830595899195811
0.157,0.157,0.834078433613169
