id,recommended,signal_name,source_block,source_block_type,source_port,group_path,destination_count,destination_blocks,keyword_hits
sig_0001,False,,TestStructure/Robot,SubSystem,out:2,TestStructure,1,TestStructure/InterForceControlTask,Robot
sig_0002,False,,TestStructure/Robot,SubSystem,out:1,TestStructure,1,TestStructure/InterForceControlTask,Robot
sig_0003,False,,TestStructure/InterForceControlTask,SubSystem,out:1,TestStructure,1,TestStructure/Robot,Robot
sig_0004,False,,TestStructure/Robot,SubSystem,out:3,TestStructure,1,TestStructure/InterForceControlTask,Robot
sig_0005,False,,TestStructure/Bus/Subsystem/From5,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem",enable | Enabled
sig_0006,False,,TestStructure/Bus/Subsystem/From6,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",enable | Enabled
sig_0007,False,,TestStructure/Bus/Subsystem/From2,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",enable | Enabled
sig_0008,False,,TestStructure/Bus/Subsystem/From3,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",enable | Enabled
sig_0009,False,,TestStructure/Bus/Subsystem/From7,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",enable | Enabled
sig_0010,False,,TestStructure/Bus/Subsystem/From9,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem7",enable | Enabled
sig_0011,False,,TestStructure/Bus/Subsystem/From4,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem6",enable | Enabled
sig_0012,False,,TestStructure/Bus/Subsystem/From8,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem5",enable | Enabled
sig_0013,False,,TestStructure/Bus/Subsystem/From1,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem",enable | Enabled
sig_0014,False,,TestStructure/Bus/Subsystem/From90,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem",enable | Enabled
sig_0015,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto2,enable | Enabled
sig_0016,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem",SubSystem,out:2,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto3,enable | Enabled
sig_0017,False,,TestStructure/Bus/Subsystem/From10,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",enable | Enabled
sig_0018,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto1,enable | Enabled
sig_0019,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",SubSystem,out:2,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto4,enable | Enabled
sig_0020,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",SubSystem,out:3,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto5,enable | Enabled
sig_0021,False,,TestStructure/Bus/Subsystem/From11,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",enable | Enabled
sig_0022,False,,TestStructure/Bus/Subsystem/From12,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",enable | Enabled
sig_0023,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",SubSystem,out:2,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto7,enable | Enabled
sig_0024,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto6,enable | Enabled
sig_0025,False,,TestStructure/Bus/Subsystem/From14,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",enable | Enabled
sig_0026,False,,TestStructure/Bus/Subsystem/From13,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",enable | Enabled
sig_0027,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto8,enable | Enabled
sig_0028,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",SubSystem,out:2,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto9,enable | Enabled
sig_0029,False,,TestStructure/Bus/Subsystem/From15,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",enable | Enabled
sig_0030,False,,TestStructure/Bus/Subsystem/From16,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",enable | Enabled
sig_0031,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto10,enable | Enabled
sig_0032,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",SubSystem,out:2,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto11,enable | Enabled
sig_0033,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem5",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto12,enable | Enabled
sig_0034,False,,TestStructure/Bus/Subsystem/From17,From,out:1,TestStructure/Bus/Subsystem,1,"TestStructure/Bus/Subsystem/Enabled
Subsystem6",enable | Enabled
sig_0035,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem6",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto13,enable | Enabled
sig_0036,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem7",SubSystem,out:1,TestStructure/Bus/Subsystem,1,TestStructure/Bus/Subsystem/Goto14,enable | Enabled
sig_0037,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem/In1",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem/Set Device State",enable | Enabled
sig_0038,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem/Set Device State",Reference,out:2,"TestStructure/Bus/Subsystem/Enabled
Subsystem",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem/Out2",enable | Enabled
sig_0039,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem/In2",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem/Set Device State",enable | Enabled
sig_0040,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem/Set Device State",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem/Out1",enable | Enabled
sig_0041,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/EtherCAT Async SDO Upload",Reference,out:3,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/Out5",enable | Enabled
sig_0042,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/In3",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/EtherCAT Async SDO Upload",enable | Enabled
sig_0043,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/EtherCAT Async SDO Upload",Reference,out:2,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/Out4",enable | Enabled
sig_0044,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/EtherCAT Async SDO Upload",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem1/Out3",enable | Enabled
sig_0045,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/EtherCAT Async SDO Download",Reference,out:2,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/Out7",enable | Enabled
sig_0046,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/In4",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/EtherCAT Async SDO Download",enable | Enabled
sig_0047,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/In5",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/EtherCAT Async SDO Download",enable | Enabled
sig_0048,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/EtherCAT Async SDO Download",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem2/Out6",enable | Enabled
sig_0049,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/In6",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/EtherCAT Async SDO Download1",enable | Enabled
sig_0050,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/EtherCAT Async SDO Download1",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/Out8",enable | Enabled
sig_0051,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/In7",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/EtherCAT Async SDO Download1",enable | Enabled
sig_0052,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/EtherCAT Async SDO Download1",Reference,out:2,"TestStructure/Bus/Subsystem/Enabled
Subsystem3",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem3/Out9",enable | Enabled
sig_0053,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/Set Device State1",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/Out10",enable | Enabled
sig_0054,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/In8",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/Set Device State1",enable | Enabled
sig_0055,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/In9",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/Set Device State1",enable | Enabled
sig_0056,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/Set Device State1",Reference,out:2,"TestStructure/Bus/Subsystem/Enabled
Subsystem4",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem4/Out11",enable | Enabled
sig_0057,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem5/Get Device State",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem5",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem5/Out12",enable | Enabled
sig_0058,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem6/EtherCAT PDO Receive1",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem6",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem6/Out13",enable | Enabled
sig_0059,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem6/In10",Inport,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem6",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem6/EtherCAT PDO Transmit1",enable | Enabled
sig_0060,False,,"TestStructure/Bus/Subsystem/Enabled
Subsystem7/EtherCAT PDO Receive2",Reference,out:1,"TestStructure/Bus/Subsystem/Enabled
Subsystem7",1,"TestStructure/Bus/Subsystem/Enabled
Subsystem7/Out1",enable | Enabled
sig_0061,True,,TestStructure/Bus/Subsystem1/Demux,Demux,out:4,TestStructure/Bus/Subsystem1,1,TestStructure/Bus/Subsystem1/MasterToNetworkClkDiff ,Kd
sig_0062,False,,TestStructure/Bus/Subsystem1/Demux,Demux,out:1,TestStructure/Bus/Subsystem1,1,TestStructure/Bus/Subsystem1/ErrVal ,
sig_0063,False,,TestStructure/Bus/Subsystem1/Demux,Demux,out:5,TestStructure/Bus/Subsystem1,1,TestStructure/Bus/Subsystem1/DCInitState ,
sig_0064,False,,TestStructure/Bus/Subsystem1/Demux,Demux,out:3,TestStructure/Bus/Subsystem1,1,TestStructure/Bus/Subsystem1/DCErrVal ,
sig_0065,False,,TestStructure/Bus/Subsystem1/EtherCAT Init,Reference,out:1,TestStructure/Bus/Subsystem1,2,TestStructure/Bus/Subsystem1/Demux | TestStructure/Bus/Subsystem1/Goto36,
sig_0066,False,,TestStructure/Bus/Subsystem1/Demux,Demux,out:2,TestStructure/Bus/Subsystem1,1,TestStructure/Bus/Subsystem1/MasterState ,
sig_0067,True,,TestStructure/Bus/Subsystem1/Demux,Demux,out:6,TestStructure/Bus/Subsystem1,1,TestStructure/Bus/Subsystem1/NetworkToSlaveClkDiff ,Kd
